ACTE;LIB_ACTE
5258;RECHERCHE DE BORDETELLA PECTUSSIS ET BORDETELLA PARAPERTUSSIS PAR AMPLIFICATION GENIQUE. SUR ASPIR
5259;DETECTION DE L'ARN DU VIRUS DU CHIKUNGUNYA PAR RT PCR PRELEVEMENT JUSQU'A J7 APRES LE DEBUT DES S
5260;DETECTION DE L'ARN DES VIRUS DE LA DENGUE PAR RT PCR PRELEVEMENT, JUSQU'A J7 APRES LE DEBUT DES
5261;DETECTION DE L'ARN DES VIRUS DE LA  DENGUE ET DU CHIKUNGUNYA PAR RT PCR   PRELEVEMENT, JUSQU'A J7
5262;LEPTOSPIROSE DETECTION DE L'ADN DU GENRE LEPTOSPIRA PAR AMPLIFICATION GENIQUE EN TEMPS REEL A REA
5278;CMI BACTERIE AEROBIE
5279;CMI BACTERIE ANAEROBIE
5280;CMI LEVURES
5290;CMI STREPTOCOCCUS PNEUMONIAE
5291;RECHERCHE D'UNE ESPECE MICROBIENNE PAR  IMMUNOFLUORESCENCE SUR PRESCRIPTION  EXPLICITE (PNEUMOCYSTI
5292;IDENTIF BIOCHIMIQUE ET/OU ANTIGENIQUE D'UNE BACTERIE ANAEROBIE
5293;DOSAGE MICROBIO D'UN ANTIBIOTIQUE CHEZ LE MALADE
5294;ACTIVITE ANTIBIOTIQUE GLOBALE D'UN LIQUIDE BIOLOGIQUE
6307;ASPERGILLOSE : SUIVI DU SD DE DEPISTAGE + ITERATIF
6312;CANDIDOSE : SUIVI DU SD DE DEPISTAGE PAR 1 TECHN. + ITERATIF
6328;ECHINOCOCCOSES  (KYSTE HYDATIQUE, ...) : SUIVI DU SD DE DEPIST. PAR 1 TECHN. + I
6340;LARVA MIGRANS : TOXOCAROSE : SUIVI DU SD DE DEPIST. PAR 1 TECHN. + ITERATIF
6347;MAL. POUMON ELEVEUR D'OISEAUX : SUIVI DU SD DE DEPISTAGE + ITERATIF
6355;SCHISTOSOMIASE : SUIVI  DU SD DE DEPISTAGE + ITERATIF
6358;TRICHINOSE : SUIVI DU SD DE DEPISTAGE + ITERATIF
7301;VITAMINE A : DOSAGE
7302;VITAMINE E : DOSAGE
7305;VITAMINE B6 : DOSAGE
7307;PROCALCITONINE : DOSAGE
7308;ACIDE HYALURONIQUE : DOSAGE
7309;PHOSPHATASE ALCALINE OSSEUSE.
7310;MARQUEURS DE L'OSTEOPOROSE. DEOXYPYRIDINOLINE ET PEPTIDES ASSOCIES (PRODUITS DE DEGRADATION DU COLL
7311;FERRITINE ERYTHROCYTAIRE : DOSAGE
7317;SOUS UNITE BETA HCG LIBRE : DOSAGE. LA PRISE EN CHARGE EST LIMITEE AU PRIMO-DIAGNOSTIC OU AU SUIVI
7318;ANTIGENE PROSTATIQUE SPECIFIQUE (PSA) : DOSAGE
7320;ANTIGENE PROSTATIQUE SPECIFIQUE LIBRE (PSA LIBRE) AVEC RAPPORT PSA LIBRE / PSA TOTAL : DOSAGE
7321;ANTIGENE CA 15-3 : DOSAGE
7323;ANTIGENE CA 19-9 : DOSAGE
7325;ANTIGENE CA 125 : DOSAGE
7327;ANTIGENE CARCINO-EMBRYONNAIRE (ACE) : DOSAGE
7335;TROPONINE - DETERMINATION QUANTITATIVE (SANG)
7401;HCG OU BETA HCG (RECHERCHE OU DOSAGE) DANS LES URINES
7402;HCG OU BETA HCG (RECHERCHE OU DOSAGE) DANS LE SANG. CET EXAMEN NE PEUT ETRE PRIS EN CHARGE LORSQU'
7414;DEHYDROEPIANDROSTERONE (DHA) PLASMATIQUE. LA PRISE EN  CHARGE DE L'EXAMEN EST LIMITEE AUX MALADIES
7415;DIHYDROTESTOSTERONE (DHT)
7420;CORTICOTROPINE (ACTH)
7422;INSULINE
7423;HORMONE DE CROISSANCE (HGH, SOMATOTROPINE) (SANG)
7890;DIABETE INSULINODEPENDANT : ANTICORPS  ANTI GAD
8000;HEMOCHROMATOSE : RECHERCHE DE LA MUTATION C 282Y DU GENE HFE1
9001;SUPPLEMENT POUR ACTES EN URGENCE NUIT. LES ACTES DE NUIT SONT CEUX EFFECTUES ENTRE VINGT HEURES ET
9004;SUPPLEMENT POUR ACTES EN URGENCE (SAMEDI APRES 12H, DIMANCHE, FERIE). LE NUMERO DE CODE DE CE SUPPL
9005;FORFAIT DE PRISE EN CHARGE PRE-ANALYTIQUE DU PATIENT.  CE FORFAIT COMPREND : - LE RECUEIL DES DONNEE
9105;FORFAIT DE SECURITE POUR LE TRAITEMENT D'UN   ECHANTILLON SANGUIN DANS LES CONDITIONS   PREVUES PAR
9106;FORFAIT DE SECURITE POUR LE TRAITEMENT  D'UN  ECHANTILLON EN VUE D'EXAMENS  BACTERIOLOGIQUES, MYCO
9107;SUPPLEMENT POUR ACTES DE BIOLOGIE EFFECTUES SUR LES PATIENTS HOSPITALISES EN ETABLISSEMENTS DE SOI
9905;COMPLEMENT A LA COTATION MINIMALE DE VALEUR B 5 (SANG). LA COTATION MINIMALE D'UN OU DE PLUSIEURS
9910;COMPLEMENT A LA COTATION MINIMALE DE  VALEUR B 10 (SANG). LA COTATION MINIMALE D'UN OU DE  PLUSIEU
5263;DETECTION DE L'ARN DU VIRUS ZIKA PAR RT-PCR SUR  PRELEVEMENT SANGUIN PRELEVEMENT, JUSQU'A J7 APRES
5264;DETECTION DE L'ARN DU VIRUS ZIKA PAR  RT-PCR SUR     PRELEVEMENT URINAIRE.PRELEVEMENT, JUSQU'A J10 A
5265;DETECTION DE L'ARN DES VIRUS DE LA DENGUE, DU  CHIKUNGUNYA ET  ZIKA PAR RT-PCR SUR PRELEVEMENT  SANG
5266;DETECTION DE L'ARN DES VIRUS DE LA DENGUE ET ZIKA PAR RT-PCR   SUR PRELEVEMENT SANGUIN PRELEVEMENT,
5267;DETECTION DE L'ARN DES VIRUS DU CHIKUNGUNYA ET ZIKA PAR RT-PCR   SUR PRELEVEMENT SANGUIN PRELEVEMENT
5268;DETECTION DE L'ARN DU VIRUS ZIKA PAR RT  PCR SUR  PRELEVEMENT  DE SPERME L'ACTE 5268 EST PRIS EN CHA
5301;RECHERCHE DIRECTE DE CHLAMYDIA TRACHOMATIS  ET/OU DE  NEISSERIA GONORRHOEAE PAR  AMPLIFICATION GENIQ
6349;MAL. POUMON FERMIER : SUIVI DU SD DE DEPISTAGE + ITERATIF
9914;COMPLEMENT A LA COTATION MINIMALE DE VALEUR B 14
6301;AMIBIASE : SUIVI DU SD DE DEPISTAGE PAR 1 TECHN. + ITERATIF
9915;COMPLEMENT A LA COTATION MINIMALE DE  VALEUR B 15 (SANG). LA COTATION MINIMALE D'UN OU DE  PLUSIEU
5269;DETECTION DE L'ARN DU VIRUS DU NIL OCCIDENTAL PAR AMPLIFICATION GENIQUE- SUR SERUM OU PLASMA, VOIRE
5270;DETECTION DE L'ARN GENOMIQUE DU VIRUS DE LA ROUGEOLE PAR AMPLIFICATION LES INDICATIONS DE PRISE EN C
5302;RECHERCHE DIRECTE DE CHLAMYDIA TRACHOMATIS ET/OU DE NEISSERIA GONORRHOEAE PAR AMPLIFICATION GENIQUE
5303;RECHERCHE DIRECTE DE CHLAMYDIA TRACHOMATIS ET/OU DE NEISSERIA GONORRHOEAE PAR AMPLIFICATION GENIQUE
9916;COMPLEMENT A LA COTATION MINIMALE DE  VALEUR B 1 (SANG). LA COTATION MINIMALE D'UN OU DE  PLUSIEUR
9917;COMPLEMENT A LA COTATION MINIMALE DE VALEUR B 2 (SANG). LA COTATION MINIMALE D'UN OU DE PLUSIEURS
9918;COMPLEMENT A LA COTATION MINIMALE DE  VALEUR B 3 (SANG). LA COTATION MINIMALE D'UN OU DE  PLUSIEUR
9919;COMPLEMENT A LA COTATION MINIMALE DE  VALEUR B 4 (SANG). LA COTATION MINIMALE D'UN OU DE  PLUSIEUR
9920;COMPLEMENT A LA COTATION MINIMALE DE  VALEUR B 6 (SANG). LA COTATION MINIMALE D'UN OU DE  PLUSIEUR
9921;COMPLEMENT A LA COTATION MINIMALE DE  VALEUR B 7 (SANG). LA COTATION MINIMALE D'UN OU DE  PLUSIEUR
9922;COMPLEMENT A LA COTATION MINIMALE DE  VALEUR B 8 (SANG). LA COTATION MINIMALE D'UN OU DE  PLUSIEUR
9923;COMPLEMENT A LA COTATION MINIMALE DE  VALEUR B 9 (SANG). LA COTATION MINIMALE D'UN OU DE  PLUSIEUR
9924;COMPLEMENT A LA COTATION MINIMALE DE  VALEUR B 11 (SANG). LA COTATION MINIMALE D'UN OU DE  PLUSIEU
9925;COMPLEMENT A LA COTATION MINIMALE DE  VALEUR B 12 (SANG). LA COTATION MINIMALE D'UN OU DE  PLUSIEU
9926;COMPLEMENT A LA COTATION MINIMALE DE  VALEUR B 13 (SANG). LA COTATION MINIMALE D'UN OU DE  PLUSIEU
9928;COMPLEMENT A LA COTATION MINIMALE DE VALEUR B 18
9929;COMPLEMENT A LA COTATION MINIMALE DE VALEUR B 16
